Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
415.00	6.4040	531.42	0.0018817	16.736	16.840	44.315	191.84	249.32	565.86	0.0038989	110.46	0.091225	0.0065351	19.369	0.051628	37.163	40.012	100.15	187.12	207.60	170.78	2.0085	9.1783	0.025104
416.00	6.5352	530.12	0.0018864	16.984	17.090	44.910	192.20	249.94	561.50	0.0046956	109.57	0.091028	0.0064475	19.778	0.050561	37.318	40.165	100.38	187.58	208.34	170.46	2.0015	9.2226	0.025230
417.00	6.6684	528.80	0.0018911	17.231	17.340	45.505	192.57	250.57	557.13	0.0055097	108.68	0.090832	0.0063601	20.194	0.049519	37.473	40.318	100.61	188.04	209.08	170.13	1.9948	9.2676	0.025357
418.00	6.8037	527.48	0.0018958	17.479	17.591	46.100	192.93	251.20	552.75	0.0063418	107.80	0.090637	0.0062730	20.618	0.048501	37.628	40.471	100.84	188.50	209.82	169.79	1.9883	9.3131	0.025485
419.00	6.9410	526.15	0.0019006	17.728	17.842	46.695	193.29	251.84	548.37	0.0071926	106.93	0.090442	0.0061860	21.050	0.047507	37.783	40.624	101.07	188.96	210.57	169.45	1.9820	9.3593	0.025614
420.00	7.0804	524.81	0.0019055	17.977	18.094	47.290	193.65	252.48	543.99	0.0080625	106.06	0.090248	0.0060993	21.489	0.046535	37.938	40.777	101.30	189.42	211.33	169.10	1.9759	9.4060	0.025744
421.00	7.2219	523.46	0.0019104	18.227	18.346	47.885	194.01	253.13	539.60	0.0089525	105.19	0.090054	0.0060128	21.937	0.045586	38.093	40.930	101.53	189.88	212.10	168.74	1.9700	9.4534	0.025875
422.00	7.3655	522.11	0.0019153	18.478	18.599	48.480	194.38	253.79	535.21	0.0098632	104.33	0.089861	0.0059265	22.392	0.044658	38.248	41.082	101.76	190.34	212.87	168.37	1.9644	9.5014	0.026008
423.00	7.5112	520.74	0.0019203	18.729	18.853	49.075	194.74	254.46	530.81	0.010795	103.48	0.089669	0.0058404	22.856	0.043751	38.402	41.234	101.99	190.79	213.65	167.99	1.9590	9.5499	0.026141
424.00	7.6590	519.37	0.0019254	18.980	19.108	49.670	195.10	255.14	526.41	0.011750	102.63	0.089477	0.0057546	23.329	0.042865	38.557	41.387	102.21	191.24	214.44	167.61	1.9539	9.5992	0.026277
425.00	7.8091	517.99	0.0019305	19.233	19.363	50.265	195.46	255.82	522.00	0.012727	101.78	0.089285	0.0056690	23.811	0.041998	38.712	41.538	102.44	191.70	215.24	167.22	1.9490	9.6490	0.026413
426.00	7.9613	516.60	0.0019357	19.485	19.618	50.860	195.83	256.51	517.58	0.013729	100.95	0.089095	0.0055836	24.301	0.041151	38.867	41.690	102.67	192.15	216.04	166.82	1.9444	9.6994	0.026551
427.00	8.1157	515.20	0.0019410	19.739	19.874	51.455	196.19	257.21	513.16	0.014755	100.11	0.088904	0.0054985	24.800	0.040322	39.022	41.842	102.90	192.60	216.86	166.41	1.9399	9.7505	0.026690
428.00	8.2724	513.80	0.0019463	19.993	20.131	52.049	196.55	257.92	508.74	0.015807	99.282	0.088715	0.0054136	25.309	0.039512	39.176	41.993	103.13	193.05	217.68	165.99	1.9358	9.8022	0.026831
429.00	8.4313	512.38	0.0019517	20.247	20.389	52.644	196.91	258.63	504.31	0.016886	98.457	0.088525	0.0053289	25.827	0.038719	39.331	42.144	103.36	193.49	218.51	165.57	1.9319	9.8546	0.026974
430.00	8.5925	510.95	0.0019571	20.502	20.647	53.239	197.28	259.36	499.87	0.017993	97.637	0.088337	0.0052445	26.355	0.037943	39.485	42.295	103.58	193.94	219.36	165.13	1.9283	9.9076	0.027118
431.00	8.7560	509.52	0.0019626	20.758	20.906	53.834	197.64	260.10	495.42	0.019130	96.822	0.088148	0.0051603	26.893	0.037185	39.640	42.446	103.81	194.39	220.21	164.69	1.9249	9.9612	0.027263
432.00	8.9218	508.07	0.0019682	21.015	21.166	54.430	198.01	260.85	490.96	0.020296	96.010	0.087961	0.0050764	27.441	0.036442	39.794	42.596	104.04	194.83	221.08	164.23	1.9218	10.015	0.027411
433.00	9.0899	506.61	0.0019739	21.272	21.426	55.025	198.37	261.60	486.50	0.021494	95.203	0.087773	0.0049928	27.999	0.035716	39.948	42.746	104.26	195.28	221.96	163.77	1.9189	10.070	0.027560
434.00	9.2605	505.14	0.0019796	21.529	21.687	55.620	198.73	262.37	482.03	0.022725	94.400	0.087587	0.0049093	28.568	0.035005	40.102	42.895	104.49	195.72	222.86	163.30	1.9164	10.126	0.027711
435.00	9.4334	503.67	0.0019854	21.787	21.949	56.216	199.10	263.16	477.55	0.023990	93.601	0.087400	0.0048262	29.147	0.034308	40.256	43.045	104.71	196.16	223.77	162.82	1.9141	10.182	0.027864
436.00	9.6087	502.18	0.0019913	22.046	22.211	56.811	199.46	263.95	473.06	0.025291	92.806	0.087214	0.0047433	29.738	0.033627	40.409	43.194	104.94	196.61	224.69	162.33	1.9120	10.239	0.028019
437.00	9.7864	500.67	0.0019973	22.306	22.474	57.407	199.83	264.75	468.57	0.026629	92.015	0.087029	0.0046607	30.340	0.032960	40.563	43.343	105.16	197.05	225.64	161.83	1.9103	10.297	0.028175
438.00	9.9666	499.16	0.0020034	22.566	22.738	58.003	200.19	265.57	464.06	0.028005	91.228	0.086844	0.0045783	30.954	0.032306	40.716	43.491	105.38	197.49	226.60	161.32	1.9088	10.355	0.028335
439.00	10.149	497.64	0.0020095	22.827	23.003	58.599	200.55	266.41	459.54	0.029423	90.444	0.086660	0.0044962	31.579	0.031667	40.869	43.639	105.61	197.94	227.57	160.80	1.9076	10.414	0.028496
440.00	10.334	496.10	0.0020157	23.089	23.268	59.196	200.92	267.25	455.01	0.030882	89.664	0.086475	0.0044144	32.217	0.031040	41.022	43.786	105.83	198.39	228.57	160.27	1.9067	10.473	0.028659
441.00	10.522	494.55	0.0020220	23.351	23.534	59.793	201.29	268.12	450.47	0.032386	88.887	0.086292	0.0043328	32.867	0.030426	41.174	43.933	106.05	198.83	229.59	159.73	1.9061	10.534	0.028825
442.00	10.712	492.99	0.0020285	23.614	23.801	60.389	201.65	268.99	445.92	0.033937	88.114	0.086108	0.0042516	33.529	0.029825	41.327	44.080	106.27	199.28	230.63	159.18	1.9058	10.595	0.028994
443.00	10.905	491.41	0.0020350	23.878	24.069	60.987	202.02	269.89	441.35	0.035535	87.344	0.085926	0.0041706	34.205	0.029235	41.479	44.226	106.49	199.73	231.70	158.62	1.9057	10.657	0.029165
444.00	11.101	489.82	0.0020416	24.142	24.337	61.584	202.38	270.80	436.78	0.037185	86.577	0.085743	0.0040899	34.894	0.028658	41.631	44.372	106.71	200.19	232.79	158.05	1.9059	10.719	0.029338
445.00	11.299	488.22	0.0020483	24.407	24.606	62.182	202.75	271.73	432.19	0.038887	85.813	0.085561	0.0040095	35.597	0.028092	41.782	44.517	106.93	200.64	233.91	157.47	1.9065	10.782	0.029514
446.00	11.499	486.60	0.0020551	24.673	24.876	62.780	203.12	272.67	427.58	0.040645	85.052	0.085379	0.0039294	36.315	0.027537	41.933	44.662	107.14	201.10	235.06	156.87	1.9073	10.847	0.029694
447.00	11.703	484.97	0.0020620	24.939	25.147	63.379	203.49	273.64	422.97	0.042462	84.294	0.085198	0.0038496	37.046	0.026993	42.084	44.806	107.36	201.56	236.24	156.27	1.9084	10.911	0.029876
448.00	11.909	483.32	0.0020690	25.207	25.419	63.978	203.85	274.63	418.33	0.044340	83.539	0.085017	0.0037701	37.793	0.026460	42.234	44.950	107.57	202.03	237.45	155.65	1.9098	10.977	0.030061
449.00	12.118	481.65	0.0020762	25.475	25.691	64.577	204.22	275.64	413.69	0.046282	82.786	0.084836	0.0036909	38.554	0.025937	42.385	45.093	107.79	202.50	238.69	155.02	1.9114	11.044	0.030250
450.00	12.329	479.97	0.0020834	25.744	25.965	65.177	204.59	276.67	409.02	0.048292	82.036	0.084655	0.0036121	39.332	0.025425	42.534	45.236	108.00	202.97	239.97	154.38	1.9134	11.111	0.030442
451.00	12.543	478.28	0.0020908	26.013	26.239	65.777	204.97	277.72	404.34	0.050373	81.288	0.084475	0.0035335	40.126	0.024922	42.684	45.377	108.21	203.45	241.29	153.73	1.9157	11.179	0.030637
452.00	12.761	476.56	0.0020984	26.284	26.514	66.378	205.34	278.80	399.64	0.052528	80.543	0.084296	0.0034553	40.936	0.024428	42.832	45.519	108.42	203.94	242.65	153.07	1.9183	11.248	0.030836
453.00	12.980	474.83	0.0021060	26.555	26.790	66.979	205.71	279.91	394.93	0.054763	79.799	0.084116	0.0033774	41.763	0.023945	42.981	45.659	108.63	204.42	244.05	152.39	1.9211	11.318	0.031039
454.00	13.203	473.08	0.0021138	26.827	27.067	67.581	206.09	281.04	390.19	0.057080	79.058	0.083937	0.0032998	42.608	0.023470	43.129	45.799	108.84	204.92	245.49	151.71	1.9243	11.389	0.031246
455.00	13.429	471.31	0.0021217	27.100	27.345	68.183	206.46	282.20	385.44	0.059485	78.318	0.083758	0.0032226	43.471	0.023004	43.276	45.938	109.05	205.42	246.99	151.00	1.9278	11.461	0.031457
456.00	13.657	469.53	0.0021298	27.373	27.624	68.786	206.84	283.39	380.67	0.061982	77.581	0.083579	0.0031457	44.353	0.022546	43.423	46.077	109.25	205.92	248.53	150.29	1.9316	11.534	0.031672
457.00	13.889	467.72	0.0021380	27.648	27.904	69.390	207.22	284.62	375.87	0.064577	76.845	0.083401	0.0030692	45.254	0.022097	43.570	46.215	109.46	206.44	250.13	149.56	1.9357	11.609	0.031892
458.00	14.123	465.89	0.0021464	27.924	28.185	69.994	207.60	285.88	371.06	0.067275	76.111	0.083223	0.0029930	46.175	0.021657	43.716	46.352	109.66	206.95	251.78	148.82	1.9401	11.684	0.032117
459.00	14.361	464.04	0.0021550	28.200	28.467	70.599	207.99	287.18	366.23	0.070082	75.378	0.083045	0.0029172	47.117	0.021224	43.861	46.488	109.86	207.48	253.49	148.07	1.9449	11.760	0.032347
460.00	14.601	462.17	0.0021637	28.477	28.750	71.205	208.38	288.51	361.37	0.073006	74.646	0.082868	0.0028417	48.080	0.020799	44.006	46.623	110.06	208.01	255.26	147.30	1.9500	11.837	0.032581
461.00	14.845	460.27	0.0021726	28.756	29.033	71.812	208.76	289.89	356.49	0.076051	73.916	0.082691	0.0027666	49.065	0.020381	44.150	46.757	110.26	208.54	257.10	146.52	1.9554	11.916	0.032822
462.00	15.091	458.36	0.0021817	29.035	29.318	72.420	209.16	291.31	351.59	0.079228	73.186	0.082514	0.0026919	50.072	0.019971	44.294	46.891	110.46	209.09	259.01	145.72	1.9612	11.996	0.033068
463.00	15.341	456.41	0.0021910	29.315	29.605	73.028	209.55	292.77	346.66	0.082543	72.457	0.082337	0.0026176	51.103	0.019568	44.436	47.023	110.65	209.63	260.99	144.91	1.9673	12.077	0.033320
464.00	15.594	454.44	0.0022005	29.596	29.892	73.638	209.95	294.29	341.71	0.086005	71.730	0.082161	0.0025437	52.159	0.019172	44.579	47.155	110.84	210.19	263.06	144.08	1.9738	12.160	0.033578
465.00	15.850	452.45	0.0022102	29.878	30.180	74.248	210.35	295.86	336.74	0.089625	71.002	0.081985	0.0024702	53.240	0.018783	44.720	47.285	111.03	210.75	265.20	143.23	1.9806	12.244	0.033843
466.00	16.109	450.43	0.0022201	30.162	30.470	74.860	210.76	297.48	331.74	0.093412	70.275	0.081809	0.0023972	54.347	0.018400	44.860	47.415	111.22	211.32	267.44	142.37	1.9879	12.329	0.034114
467.00	16.371	448.38	0.0022303	30.446	30.761	75.472	211.17	299.17	326.71	0.097379	69.548	0.081634	0.0023245	55.481	0.018024	45.000	47.543	111.41	211.90	269.78	141.50	1.9956	12.416	0.034393
468.00	16.637	446.30	0.0022407	30.732	31.053	76.086	211.59	300.92	321.66	0.10154	68.822	0.081459	0.0022523	56.644	0.017654	45.139	47.670	111.59	212.48	272.22	140.61	2.0036	12.505	0.034680
469.00	16.906	444.19	0.0022513	31.018	31.346	76.701	212.01	302.75	316.58	0.10590	68.095	0.081284	0.0021805	57.836	0.017290	45.277	47.796	111.77	213.07	274.76	139.70	2.0121	12.595	0.034975
470.00	17.178	442.04	0.0022622	31.306	31.641	77.318	212.44	304.65	311.47	0.11049	67.368	0.081110	0.0021091	59.059	0.016932	45.414	47.920	111.95	213.66	277.43	138.77	2.0211	12.688	0.035278
471.00	17.454	439.87	0.0022734	31.595	31.937	77.936	212.87	306.63	306.33	0.11531	66.640	0.080936	0.0020383	60.314	0.016580	45.550	48.043	112.13	214.26	280.23	137.82	2.0305	12.782	0.035591
472.00	17.733	437.66	0.0022849	31.886	32.235	78.555	213.31	308.70	301.16	0.12038	65.912	0.080763	0.0019678	61.603	0.016233	45.684	48.165	112.31	214.87	283.17	136.86	2.0404	12.878	0.035913
473.00	18.015	435.41	0.0022967	32.177	32.534	79.176	213.75	310.87	295.97	0.12574	65.182	0.080590	0.0018979	62.927	0.015892	45.818	48.285	112.48	215.49	286.26	135.88	2.0507	12.976	0.036245
474.00	18.301	433.12	0.0023088	32.470	32.834	79.799	214.20	313.14	290.74	0.13139	64.452	0.080418	0.0018285	64.287	0.015555	45.950	48.404	112.65	216.11	289.51	134.88	2.0616	13.076	0.036587
475.00	18.591	430.80	0.0023213	32.764	33.136	80.423	214.66	315.53	285.48	0.13736	63.720	0.080246	0.0017596	65.686	0.015224	46.082	48.521	112.81	216.73	292.94	133.86	2.0731	13.179	0.036942
476.00	18.884	428.43	0.0023341	33.060	33.440	81.050	215.13	318.04	280.18	0.14368	62.986	0.080075	0.0016912	67.126	0.014897	46.211	48.636	112.97	217.37	296.56	132.82	2.0851	13.284	0.037308
477.00	19.181	426.02	0.0023473	33.358	33.746	81.678	215.61	320.69	274.86	0.15038	62.250	0.079905	0.0016233	68.608	0.014576	46.340	48.749	113.13	218.01	300.41	131.75	2.0977	13.392	0.037687
478.00	19.481	423.56	0.0023609	33.656	34.053	82.309	216.09	323.50	269.49	0.15750	61.512	0.079736	0.0015560	70.134	0.014258	46.467	48.860	113.29	218.66	304.48	130.67	2.1109	13.502	0.038080
479.00	19.785	421.05	0.0023750	33.957	34.362	82.942	216.59	326.47	264.10	0.16507	60.771	0.079568	0.0014892	71.708	0.013945	46.592	48.970	113.44	219.31	308.82	129.56	2.1248	13.615	0.038488
480.00	20.093	418.49	0.0023895	34.259	34.673	83.577	217.10	329.62	258.66	0.17313	60.027	0.079401	0.0014230	73.332	0.013637	46.715	49.077	113.59	219.97	313.45	128.44	2.1393	13.732	0.038911
481.00	20.404	415.88	0.0024045	34.563	34.986	84.215	217.61	332.98	253.19	0.18174	59.279	0.079236	0.0013575	75.009	0.013332	46.837	49.181	113.73	220.64	318.39	127.28	2.1546	13.852	0.039351
482.00	20.720	413.21	0.0024201	34.869	35.301	84.856	218.14	336.57	247.68	0.19095	58.528	0.079072	0.0012925	76.742	0.013031	46.957	49.283	113.87	221.32	323.70	126.11	2.1706	13.975	0.039810
483.00	21.039	410.48	0.0024362	35.176	35.618	85.500	218.69	340.42	242.13	0.20083	57.773	0.078910	0.0012282	78.535	0.012733	47.074	49.383	114.00	222.01	329.41	124.91	2.1873	14.103	0.040288
484.00	21.362	407.68	0.0024529	35.486	35.938	86.147	219.24	344.56	236.53	0.21144	57.012	0.078751	0.0011646	80.392	0.012439	47.189	49.479	114.12	222.70	335.58	123.68	2.2049	14.234	0.040787
485.00	21.689	404.81	0.0024703	35.798	36.260	86.797	219.81	349.03	230.89	0.22287	56.246	0.078594	0.0011016	82.316	0.012148	47.302	49.573	114.25	223.41	342.26	122.43	2.2233	14.370	0.041310
486.00	22.020	401.87	0.0024884	36.112	36.585	87.452	220.40	353.87	225.20	0.23521	55.474	0.078440	0.0010394	84.315	0.011860	47.412	49.663	114.36	224.12	349.53	121.15	2.2426	14.511	0.041858
487.00	22.355	398.84	0.0025072	36.429	36.912	88.110	221.01	359.14	219.47	0.24859	54.696	0.078290	0.00097786	86.392	0.011575	47.519	49.749	114.47	224.84	357.48	119.84	2.2628	14.658	0.042433
488.00	22.695	395.74	0.0025269	36.749	37.243	88.773	221.63	364.91	213.68	0.26311	53.909	0.078144	0.00091713	88.554	0.011293	47.623	49.832	114.57	225.58	366.21	118.50	2.2840	14.810	0.043038
489.00	23.038	392.53	0.0025476	37.071	37.577	89.441	222.27	371.25	207.84	0.27895	53.114	0.078004	0.00085720	90.808	0.011012	47.724	49.910	114.66	226.33	375.85	117.13	2.3062	14.968	0.043676
490.00	23.386	389.23	0.0025692	37.396	37.914	90.114	222.94	378.26	201.94	0.29627	52.310	0.077871	0.00079812	93.163	0.010734	47.821	49.984	114.75	227.10	386.55	115.73	2.3293	15.133	0.044351
491.00	23.739	385.81	0.0025919	37.724	38.255	90.793	223.63	386.07	195.99	0.31529	51.495	0.077745	0.00073993	95.628	0.010457	47.914	50.053	114.82	227.88	398.51	114.30	2.3535	15.306	0.045067
492.00	24.095	382.27	0.0026159	38.057	38.600	91.479	224.35	394.83	189.96	0.33628	50.668	0.077629	0.00068266	98.214	0.010182	48.002	50.116	114.89	228.67	411.97	112.83	2.3788	15.488	0.045829
493.00	24.457	378.60	0.0026413	38.393	38.949	92.172	225.10	404.74	183.87	0.35953	49.827	0.077524	0.00062638	100.93	0.0099074	48.085	50.173	114.94	229.49	427.25	111.33	2.4051	15.679	0.046643
494.00	24.823	374.78	0.0026682	38.733	39.304	92.873	225.88	416.05	177.71	0.38542	48.970	0.077435	0.00057113	103.80	0.0096335	48.162	50.223	114.98	230.33	444.75	109.79	2.4325	15.881	0.047516
495.00	25.193	370.79	0.0026969	39.078	39.663	93.583	226.70	429.11	171.47	0.41443	48.096	0.077364	0.00051699	106.84	0.0093596	48.233	50.265	115.00	231.20	465.01	108.22	2.4609	16.095	0.048457
496.00	25.569	366.61	0.0027277	39.428	40.029	94.304	227.56	444.36	165.14	0.44713	47.201	0.077318	0.00046402	110.07	0.0090851	48.297	50.299	115.01	232.10	488.74	106.60	2.4901	16.324	0.049477
497.00	25.949	362.22	0.0027607	39.785	40.402	95.037	228.47	462.45	158.72	0.48424	46.282	0.077302	0.00041231	113.52	0.0088094	48.352	50.322	115.00	233.03	516.93	104.94	2.5202	16.568	0.050590
498.00	26.335	357.58	0.0027966	40.148	40.783	95.784	229.44	484.28	152.20	0.52672	45.334	0.077327	0.00036197	117.21	0.0085314	48.398	50.334	114.96	234.01	551.00	103.24	2.5508	16.832	0.051815
499.00	26.725	352.64	0.0028357	40.520	41.173	96.548	230.48	511.19	145.56	0.57575	44.353	0.077406	0.00031310	121.21	0.0082502	48.433	50.333	114.90	235.03	592.98	101.49	2.5815	17.119	0.053177
500.00	27.122	347.36	0.0028789	40.902	41.575	97.332	231.59	545.21	138.81	0.63296	43.331	0.077558	0.00026587	125.56	0.0079642	48.453	50.315	114.81	236.12	646.02	99.700	2.6119	17.434	0.054709
